Country,Energy balance,Standard international energy product classification (SIEC),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Estonia,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Total energy supply,Total,124593.641,115454.489,73679.923,62449.188,69776.487,65270.308,68126.759,65780.36,60683.582,57336.132,54522.316,57633.278,53682.732,57698.404,62373.177,63321.832,62771.985,73460.945,64292.513,51157.981,68509.482,66582.217,60807.04,67911.284,64416.962,55833.34,69528.939,68073.46,65688.907,56384.491,52016.952,53083.337,55781.605,
Finland,Available for final consumption,Total,251717.736,255801.456,243179.424,252195.074,265786.668,247584.136,263945.661,278094.731,288502.792,285103.35,275986.356,275255.954,292696.104,298258.335,306750.822,293825.655,307278.404,306765.706,299234.703,279227.961,305950.41,296198.314,292499.705,280292.97,292702.779,279788.358,292399.99,301974.602,306538.784,299077.519,287306.702,298891.841,282427.85,
Finland,Gross available energy,Total,339735.102,343854.43,325498.616,340636.443,362041.856,343582.317,369760.713,384216.663,389009.548,388815.095,388920.945,397631.846,418921.456,441155.468,444877.227,411165.564,447844.94,440514.816,423041.926,393847.936,430346.994,414438.093,398850.912,392533.267,400586.751,383309.074,397165.683,402506.696,409795.639,401762.329,377197.839,395307.223,381828.831,
Finland,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Total energy supply,Total,329230.047,333902.43,314346.366,331366.082,353955.717,336233.373,361663.935,375598.941,378988.436,378110.289,377006.25,386752.013,407266.012,429417.607,433966.255,400333.287,435860.509,428869.351,411557.697,384981.381,421591.373,404676.742,390249.208,383618.885,392172.889,372421.892,386363.874,390469.907,396946.58,388090.678,370310.025,388820.83,371724.039,
France,Available for final consumption,Total,1693921.969,1781787.258,1742430.9,1755366.574,1666744.312,1722551.907,1833567.619,1763862.959,1826122.221,1820691.558,1820691.238,1934831.638,1902411.052,1929517.655,1958589.556,1941495.724,1912165.352,1880566.529,1901159.147,1829422.832,1878347.527,1836092.231,1880171.951,1907019.993,1790399.415,1831125.644,1843701.078,1839543.621,1809514.498,1810217.187,1643049.929,1769429.956,1665606.927,
France,Gross available energy,Total,2660993.307,2809333.433,2764766.369,2808638.376,2702989.269,2815191.741,2974887.818,2888870.081,2976983.589,2978075.062,3009059.572,3102886.616,3109727.278,3186016.988,3240469.195,3253091.17,3207564.03,3179446.29,3193216.615,3069521.569,3163377.435,3108136.801,3108835.001,3122057.568,2999794.558,3048438.22,2995243.561,2996709.175,2985525.175,2948953.758,2612382.966,2826608.137,2574850.537,
France,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Total energy supply,Total,2594857.946,2745206.878,2696312.119,2740416.071,2635258.491,2744389.436,2899705.401,2810003.109,2892095.172,2887915.423,2915619.35,3015100.255,3022588.473,3098789.035,3145499.726,3160154.582,3110638.776,3079331.074,3096673.406,2979186.855,3072647.91,3013391.893,3017070.962,3033344.965,2914289.334,2961621.765,2910552.285,2909940.413,2893875.177,2856720.456,2570247.236,2780244.622,2503954.663,
